name,price_usd,price_btc,total_supply,market_cap_usd,available_supply,eth_price_launch,btc_price_launch,total_24h_usd,social_k,month,day,country,output
0x,0.2,0.00002450,1000000000,122399801,841921227,301.46,4331.69,19916186,10,8,17,86,0.365
aeron,0.12,0.00001470,20000000,2365461,20000000,309.07,7459.69,2298107,6,11,8,28,0.15
agrello,0.04,0.00000490,130271020,3419547,102735764,299.25,6618.14,753120,7,11,10,51,0.04
aigang,0.0002792,0.00000003,29274567,8173,29274566,1273.2,13980.6,0,8,1,12,155,0.001049
aion,0.06,0.00000735,492427074,20464919,492427074,308.09,5708.52,2677201,9,10,19,29,0.12
airswap,0.02,0.00000245,500000000,2729306,150000000,314.32,5590.69,3412675,10,10,18,194,0.07
alpha_token,0.01,0.00000122,278273649,353068,34731758,166.95,5251.94,1623,11,4,17,61,0.002559
ambrosus,0.01,0.00000122,723547607,1982444,196445127,298.33,5526.64,318469,12,10,24,33,0.01
ampleforth,1.05,0.00012857,272556357,1740492,187594068,320.06,11959.37,123574,20,6,29,29,0.96
ankr,0.001337,0.00000016,10000000000,5344787,6996232711,138.03,3911.48,1101602,15,3,7,182,0.002397
aquariuscoin,0.04,0.00000490,3493523,99787,3493523,9.83,447.98,0,31,5,5,61,0.38
asd,0.05,0.00000612,743798994,34899250,743798994,150.8,4035.3,2412502,14,1,9,182,0.04
atlant,0.02,0.00000245,54175041,1162626,54175040,287.43,7078.5,206,12,11,2,148,0.02
Augur,9.71,0.00118900,11000000,106798688,10999900,232,304.62,8641242,14,10,28,148,14.8
bit_shares,0.02,0.00000245,2994910000,42885093,2994910000,232,622.21,2583026,28,7,21,182,0.02
bitmoney,0.00007378,0.00000001,87904513,6087,82497697,205.43,6489.19,85,24,10,20,78,0.00006632
bittorrent,0.0002969,0.00000004,990000000000,62969498,660000000000,107.61,3487.95,94557262,50,2,1,29,0.0003032
cardano,0.04,0.00000490,45000000000,956027830,31788529034,297.48,4409.32,47483943,32,10,2,51,0.08
celsius,0.15,0.00001840,695658160,0,238863519,227.18,6556.1,76686,10,10,2,195,0.26
chainlink ,2.22,0.00027184,1000000000,778385770,431009553,360.4,8071.26,109888554,30,11,21,61,4.09
chiliz,0.006841,0.00000084,8888888888,25747796,5799953862,270.23,8742.96,1478128,12,6,2,10,0.01
cindicator,0.005877,0.00000072,2000000005,11043311,2000000000,339.63,5831.79,82202,15,10,14,182,0.006823
civic,0.02,0.00000245,1000000000,12073801,670000000,234.39,2318.88,1104002,30,7,18,182,0.03
coinlancer,0.001223,0.00000015,300000000,313097,0,1255.82,14973.3,51,20,1,10,2,0.00234
cosmos,4.26,0.00052164,268551866,813022082,210767262,137.69,3960.91,180537539,27,3,15,155,2.86
covesting,0.06,0.00000735,20000000,1162661,18000000,1058.78,11359.4,1620,29,1,24,155,0.2
crypterium,0.41,0.00005020,98799910,40752746,83651464,986.23,10868.4,188735,30,1,23,51,0.37
dai,1,0.00012245,4819930222,0,4819929734,153.42,7397.8,6095383,14,11,23,8,1
dash,56.59,0.00692949,10170827,524062302,10170693,123,661.99,360608270,13,2,14,130,73.54
decentraland,0.03,0.00000367,2194360627,33427941,1580451321,347.61,7790.15,14248541,12,11,18,59,0.04
decred,16.53,0.00202411,13002406,178318862,13002405,6.01,379.65,30899899,15,2,11,33,17
digibyte,0.005636,0.00000069,14350739046,71558290,14379213250,132,781.55,913814,25,2,6,61,0.02
dogecoin,0.002356,0.00000029,130000000000,289375371,130000000000,329,345.35,87683356,26,12,15,180,0.00252
enjin_coin,0.07,0.00000857,1000000000,57498685,834331121,287.43,7078.5,3675860,13,11,2,196,0.19
enzyme,3.47,0.00042490,1824437,4335631,1792737,13.12,1166.72,561717,12,2,23,182,5.49
eos,2.97,0.00036368,1029947951,2814060882,954050590,287.99,2506.47,2700372562,11,7,2,33,2.6
ergo,0.47,0.00005760,35316150,3021446,32012428,294.92,2480.84,103199,30,6,30,182,0.35
fantom,0.01,0.00000122,2545006273,18821547,2545006273,197.38,6317.61,2853638,23,10,31,61,0.00602
filecoin,4.14,0.00050695,77191568,0,77191568,695.82,16564,4432224,25,12,14,155,12.49
ftx_token,2.23,0.00027307,345219294,216480081,94346957,217.81,10399.67,14675801,26,8,1,33,2.87
fun_token,0.002835,0.00000035,10999873621,18562970,10298879189,327.93,2574.79,346430,24,6,28,155,0.00394
gatetoken,0.39,0.00004780,300000000,17983261,79303772,187.52,10185.5,7202725,47,8,27,182,0.54
gemini_dollar,1,0.00012245,145608246,4061661,145608145,226.12,6602.95,14623527,7,10,7,9,1
harmony,0.004629,0.00000057,13016029552,16851302,10191200570,270.23,8742.96,1456749,5,6,2,182,0.003789
haven_protocol,0.29,0.00003550,14481631,3312360,14481530,708.16,9697.5,140721,25,4,24,94,0.49
hedera,0.01,0.00000122,50000000000,20613316,8577696439,180.56,8309.29,1755040,28,11,18,51,0.04
holo,0.0006852,0.00000008,178000000000,110933980,173000000000,673.61,9119.01,6489305,35,5,1,155,0.0006079
horizen,8.44,0.00103348,11165919,68991143,11165918,223.77,2488.55,1219300,15,6,2,155,7.99
huobi,3.11,0.00038082,500000000,751243403,175074232,834.68,8277.01,214112126,22,2,4,8,4.32
husd,1,0.00012245,784404674,0,784404673,176.01,8047.53,30234301,34,10,16,194,1
icon,0.12,0.00001470,800460000,61241503,628577426,296.3,5753.09,4074594,23,10,28,77,0.33
iota,0.19,0.00002330,2779530283,527032168,527032168,359.05,2506.37,7247988,45,6,14,148,0.22
kucoin,1.03,0.00012612,170118638,84553937,80118638,297.92,5750.8,8403900,23,10,25,155,0.93
kusama,1.38,0.00016898,9651217,0,8470098,144.94,7269.68,547668,14,12,13,196,5.41
lisk,0.62,0.00007590,144180218,75760627,128249950,10.07,422.74,4343829,12,4,7,39,1.23
litecoin,48.73,0.00596702,66752415,3110300142,66752414,161,116.99,3808140302,11,4,30,182,44.83
livepeer,1.69,0.00020694,22859012,0,21164655,116.22,4134.44,5078,15,12,20,33,3.52
locktrip,0.45,0.00005510,18585933,6730236,14952162,826.82,17776.7,16475,9,12,19,61,0.29
maker,476.68,0.05836981,991477,476680118,991477,10.73,970.4,3941850,22,1,31,155,592.75
mco,4.48,0.00054858,31587682,70748202,15793831,273.3,2601.64,15873043,21,7,4,197,5.15
monero,58.57,0.00717194,17926798,1018860318,17926797,172,524.58,65556437,13,5,22,130,65.83
